figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig2,free_jones_vp,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,307.9472401009989,0.02564363318647882,0.02564363318647882,0.003037070891189459,0.008111427748144641,5.5845609371566505e-12,1.2544100435469503,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,760fa1acd295f0e0,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.384574214008582e-05,2.592601151300926e-06,2.3404582970682224e-05]",direct_vp,[],3098344.122713064,3096560,True,2773107.8416705914,65.55967340422619,9.455560187784082,0.04771603587136409,"[5.014347907771135,4.89809397046349,4.945758773849045]",20.53781664399139,264.5969679909904,285.75411321996944,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.02564363318647882,0.003037070891189459,1.2544100435469503,nan,nan,nan,False,not_run,not_requested
fig2,free_jones_vp_gated_rescue,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,309.6117454539926,0.02564363318647882,0.02564363318647882,0.003037070891189459,0.008111427748144641,5.5845609371566505e-12,1.2544100435469503,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,760fa1acd295f0e0,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.384574214008582e-05,2.592601151300926e-06,2.3404582970682224e-05]",direct_vp,[],3098344.122713064,3096560,True,2773107.8416705914,65.55967340422619,9.455560187784082,0.04771603587136409,"[5.014347907771135,4.89809397046349,4.945758773849045]",20.53781664399139,266.32964168599574,287.4867869149748,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.02564363318647882,0.003037070891189459,1.2544100435469503,nan,nan,nan,False,not_run,not_requested
fig2,free_jones_vp_force_rescue,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,357.087844869995,0.02564363318647882,0.02564363318647882,0.003037070891189459,0.008111427748144641,5.5845609371566505e-12,1.2544100435469503,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,b321b6f654d39bac,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.384574214008582e-05,2.592601151300926e-06,2.3404582970682224e-05]",jnpp_then_vp,[],3098344.122713064,3096560,True,2773107.8416705914,65.55967340422619,9.455560187784082,0.04771603587136409,"[5.014347907771135,4.89809397046349,4.945758773849045]",20.53781664399139,267.06106526700023,288.2182104959793,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.02564363318647882,0.003037070891189459,1.2544100435469503,0.00040137250649240026,9.420471411173553e-06,1.253247703415752,True,rollback,existing_selector_rollback
fig2,PEB,0,3147786918,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,1.5415830569982063,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,627464cca1b87e94,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006350613982890723,nan,nan,0.0006350613982890723,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,1.2536941931437522,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig2,free_jones_vp,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,432.04900076799095,0.03234968484277512,0.03234968484277512,0.011704987155181715,0.019580070587166987,1.921525242927766e-11,0.9642721789713179,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,4309b22d62663bb3,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.9310794556913023e-06,2.2850473359184446e-06,1.5941007731462672e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3107768.6612620004,3096560,False,1752913.647994065,89.28549783597676,3.597508794133229,0.2837991781894617,"[4.967521219893666,4.988891638531997,4.376461998544811]",19.028297722004936,406.0278332540038,425.39556335700036,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.03234968484277512,0.011704987155181715,0.9642721789713179,nan,nan,nan,False,not_run,not_requested
fig2,free_jones_vp_gated_rescue,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,493.2662771220057,0.0019206181821467708,0.0019206181821467708,3.8614084978508076e-05,0.00014564285479372923,1.1429737728780694e-12,0.9607564906626148,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,4309b22d62663bb3,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.9600841362423524e-06,2.307461263708034e-06,2.6423062890542374e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3107768.6612620004,3096560,False,1752913.647994065,89.28549783597676,3.597508794133229,0.2837991781894617,"[4.967521219893666,4.988891638531997,4.376461998544811]",19.028297722004936,50.658762021004804,71.85891436300881,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.03234968484277512,0.011704987155181715,0.9642721789713179,0.0019206181821467708,3.8614084978508076e-05,0.9607564906626148,True,accepted,accepted
fig2,free_jones_vp_force_rescue,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,505.31826156900206,0.0019206181821467708,0.0019206181821467708,3.8614084978508076e-05,0.00014564285479372923,1.1429737728780694e-12,0.9607564906626148,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,606fb2261ae24b77,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.9600841362423524e-06,2.307461263708034e-06,2.6423062890542374e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3107768.6612620004,3096560,False,1752913.647994065,89.28549783597676,3.597508794133229,0.2837991781894617,"[4.967521219893666,4.988891638531997,4.376461998544811]",19.028297722004936,50.10228262799501,71.08724395900208,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.03234968484277512,0.011704987155181715,0.9642721789713179,0.0019206181821467708,3.8614084978508076e-05,0.9607564906626148,True,accepted,accepted
fig2,PEB,1,112311654,-5.0,snr_db,-5.0,3,3,3,3,full_6d,112311654,,,nan,,False,,1.4607360679947305,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,5b496cd127b2e497,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0008078451997330199,nan,nan,0.0008078451997330199,False,03cd7c332e4eed0126bd941bde17e626eadbdc845abb58ecb3c9db59f411c888,0.960799342656914,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig2,free_jones_vp,2,3251202663,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,34.03991863199917,0.0013081843454129823,0.0013081843454129823,6.173630301095708e-05,0.0010360457100826671,4.848156054613176e-13,0.7226040036789408,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,a309a6256e6a3c66,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.8005166966721718e-06,4.324188633193175e-06,5.233250556460269e-05]",direct_vp,[],3093891.5181391584,3096560,True,2667212.3203008296,73.95390050554188,12.222577435215719,0.0867148950533317,"[4.843336308734784,5.019092099126456,5.034510163272434]",18.6243859410024,32.614084009997896,51.60525707800116,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0013081843454129823,6.173630301095708e-05,0.7226040036789408,nan,nan,nan,False,not_run,not_requested
fig2,free_jones_vp_gated_rescue,2,3251202663,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,33.97264392400393,0.0013081843454129823,0.0013081843454129823,6.173630301095708e-05,0.0010360457100826671,4.848156054613176e-13,0.7226040036789408,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,a309a6256e6a3c66,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.8005166966721718e-06,4.324188633193175e-06,5.233250556460269e-05]",direct_vp,[],3093891.5181391584,3096560,True,2667212.3203008296,73.95390050554188,12.222577435215719,0.0867148950533317,"[4.843336308734784,5.019092099126456,5.034510163272434]",18.6243859410024,32.26441291999072,51.25558598799398,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0013081843454129823,6.173630301095708e-05,0.7226040036789408,nan,nan,nan,False,not_run,not_requested
