figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig1,PEB,-10.0,peb_position_m,peb_position_m,0.001234151498226363,0.001164575240934081,0.0001807815840693029,0.0010464744367601965,0.0014884689046556227,0.001234151498226363,0.001164575240934081,0.0001807815840693029,0.0010464744367601965,0.0014884689046556227,1.0,0.0,96,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.001234151498226363,0.001164575240934081,0.0001807815840693029,0.0010464744367601965,0.0014884689046556227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001234151498226363,0.001164575240934081,0.0001807815840693029,0.0010464744367601965,0.0014884689046556227
fig1,PEB,-5.0,peb_position_m,peb_position_m,0.0006940143889982673,0.0006548887842707412,0.00010166095555554243,0.0005884758215455529,0.0008370275763486703,0.0006940143889982673,0.0006548887842707412,0.00010166095555554243,0.0005884758215455529,0.0008370275763486703,1.0,0.0,96,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0006940143889982673,0.0006548887842707412,0.00010166095555554243,0.0005884758215455529,0.0008370275763486703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006940143889982673,0.0006548887842707412,0.00010166095555554243,0.0005884758215455529,0.0008370275763486703
fig1,PEB,0.0,peb_position_m,peb_position_m,0.00039027297121045607,0.00036827102679910524,5.7168156467220906e-05,0.0003309242733304057,0.00047069519650477743,0.00039027297121045607,0.00036827102679910524,5.7168156467220906e-05,0.0003309242733304057,0.00047069519650477743,1.0,0.0,96,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.00039027297121045607,0.00036827102679910524,5.7168156467220906e-05,0.0003309242733304057,0.00047069519650477743,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00039027297121045607,0.00036827102679910524,5.7168156467220906e-05,0.0003309242733304057,0.00047069519650477743
fig1,PEB,5.0,peb_position_m,peb_position_m,0.0002194666198164628,0.00020709401723941937,3.2148016866466236e-05,0.00018609239440227362,0.0002646913605632283,0.0002194666198164628,0.00020709401723941937,3.2148016866466236e-05,0.00018609239440227362,0.0002646913605632283,1.0,0.0,96,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0002194666198164628,0.00020709401723941937,3.2148016866466236e-05,0.00018609239440227362,0.0002646913605632283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002194666198164628,0.00020709401723941937,3.2148016866466236e-05,0.00018609239440227362,0.0002646913605632283
fig1,PEB,10.0,peb_position_m,peb_position_m,0.00012341514982263624,0.00011645752409340809,1.8078158406930306e-05,0.00010464744367601965,0.0001488468904655623,0.00012341514982263624,0.00011645752409340809,1.8078158406930306e-05,0.00010464744367601965,0.0001488468904655623,1.0,0.0,96,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.00012341514982263624,0.00011645752409340809,1.8078158406930306e-05,0.00010464744367601965,0.0001488468904655623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00012341514982263624,0.00011645752409340809,1.8078158406930306e-05,0.00010464744367601965,0.0001488468904655623
fig1,adaptive_jones_vp_proposed,-10.0,position_rmse_m,position_rmse_m,0.023229596773922515,0.000872701890522669,0.14769577657602473,0.0003502938197351196,0.0021623838025333336,0.023229596773922515,0.000872701890522669,0.14769577657602473,0.0003502938197351196,0.0021623838025333336,1.0,0.020833333333333332,96,3,3,3,0.023229596773922515,0.000872701890522669,0.14769577657602473,0.0003502938197351196,0.0021623838025333336,0.017643823745437152,5.1199535291751716e-05,0.11963892141659985,2.982023156075532e-05,7.99554349103327e-05,0.014640000047199191,0.0002654187666583834,0.09447398643752135,8.264908683212901e-05,0.0007431800693696487,2.3431041016979036e-11,1.3871808289810495e-12,1.406382056710305e-10,4.939168497696718e-13,6.2946473147507654e-12,3.6470384337537642,3.2937012492200743,1.8874544600638983,1.651459050030373,6.756059860074373,0.020833333333333332,0.0,0.1428261375083551,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,adaptive_jones_vp_proposed,-5.0,position_rmse_m,position_rmse_m,0.0010119757052573085,0.0004780749353426029,0.004220091988646773,0.00019615225903596485,0.0011175912721541241,0.0010119757052573085,0.0004780749353426029,0.004220091988646773,0.00019615225903596485,0.0011175912721541241,1.0,0.0,96,3,3,3,0.0010119757052573085,0.0004780749353426029,0.004220091988646773,0.00019615225903596485,0.0011175912721541241,7.481374467457433e-05,1.6299630257807042e-05,0.0005647113288348112,9.416127583852887e-06,2.5075568696697352e-05,0.0005403167075207452,0.00014918748546528864,0.0034155499236116584,4.63332402893324e-05,0.000406081622260466,1.7664630687676005e-12,7.272912445511157e-13,4.675627808092976e-12,2.6318622730490117e-13,3.434467260137059e-12,1.1517859489868296,1.0383595677231003,0.5974624675384717,0.5222372056629008,2.1364537184510297,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,adaptive_jones_vp_proposed,0.0,position_rmse_m,position_rmse_m,0.00032581136821716993,0.0002648395880963585,0.00020869541637630497,0.00011004401610576308,0.0006031753122919393,0.00032581136821716993,0.0002648395880963585,0.00020869541637630497,0.00011004401610576308,0.0006031753122919393,1.0,0.0,96,3,3,3,0.00032581136821716993,0.0002648395880963585,0.00020869541637630497,0.00011004401610576308,0.0006031753122919393,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,0.00010804707122640341,8.390701272847329e-05,9.841942398307373e-05,2.6009490009089383e-05,0.00022024629959011913,7.277550682907624e-13,3.912449500660631e-13,6.945716314280821e-13,1.4771812380857828e-13,1.836211615692336e-12,0.3642231692032694,0.3283581268570072,0.18893751847436935,0.16514590480428526,0.675605986969007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,adaptive_jones_vp_proposed,5.0,position_rmse_m,position_rmse_m,0.00018324557208567057,0.00014898219749383474,0.00011734840511544365,6.180046140338593e-05,0.0003390992834292969,0.00018324557208567057,0.00014898219749383474,0.00011734840511544365,6.180046140338593e-05,0.0003390992834292969,1.0,0.0,96,3,3,3,0.00018324557208567057,0.00014898219749383474,0.00011734840511544365,6.180046140338593e-05,0.0003390992834292969,1.6745691794439058e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,6.076193977753661e-05,4.718933491972104e-05,5.5359047568667595e-05,1.4612098917522683e-05,0.00012375670679729684,4.0924606488326794e-13,2.200637308561603e-13,3.9048721770001573e-13,8.298159311255947e-14,1.0327870295879375e-12,0.11517748015783642,0.10383595698591559,0.059747291253390594,0.05222372052975505,0.21364537204133163,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,adaptive_jones_vp_proposed,10.0,position_rmse_m,position_rmse_m,0.00010305622771415589,8.379606455629336e-05,6.598767163214209e-05,3.4727973515812216e-05,0.0001906999932634794,0.00010305622771415589,8.379606455629336e-05,6.598767163214209e-05,3.4727973515812216e-05,0.0001906999932634794,1.0,0.0,96,3,3,3,0.00010305622771415589,8.379606455629336e-05,6.598767163214209e-05,3.4727973515812216e-05,0.0001906999932634794,5.294225491072547e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,3.417201981628735e-05,2.6536522529175973e-05,3.113661874802338e-05,8.212529938603537e-06,6.956293806791378e-05,2.301411613199013e-13,1.2378435368245927e-13,2.1955444438368545e-13,4.663732435987561e-14,5.808447430429093e-13,0.03642231646133785,0.032835812723403926,0.018893751007867037,0.01651459047381245,0.06756059873432743,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
