figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,rss_mb_before,rss_mb_after
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,proposed,0.0003110465595149808,1.2226585744147782e-05,0.33536387796402634,324.31538623099914,False,,303a8324d1486b25,8b9ca76c65509ff3,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,ff_omp,1.240874076224835,0.9887674785723911,0.6670375352569157,16.830268496007193,False,,303a8324d1486b25,8b9ca76c65509ff3,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,ris_momp,1.2613769960563408,0.988078284146361,0.6667985321751875,32.76353671000106,False,,303a8324d1486b25,8b9ca76c65509ff3,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,nf_mmpsr,1.4017845768876185,0.9274583749637307,0.6464700771248015,16.68262851300824,False,,303a8324d1486b25,8b9ca76c65509ff3,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,peb,nan,nan,nan,0.6942861790012103,False,,303a8324d1486b25,8b9ca76c65509ff3,,0.0007006666630188536,True,False,jones_linear,True,62.97390093623129,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,256,64,4096,3.521757768185907,proposed,0.00035552090557315884,4.010658255535282e-06,0.1306219202696049,459.26575455199054,False,,5d1fe8751de32d30,7ad570266e2ed911,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,256,64,4096,3.521757768185907,ff_omp,1.646390757642884,0.9944099522939898,0.26063118431724047,24.030069241998717,False,,5d1fe8751de32d30,7ad570266e2ed911,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,256,64,4096,3.521757768185907,ris_momp,1.2303519342310378,0.996270261841882,0.26086290045998406,47.983249579003314,False,,5d1fe8751de32d30,7ad570266e2ed911,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,256,64,4096,3.521757768185907,nf_mmpsr,1.5149257407543117,0.6963003923114679,0.2215530024509957,18.13005781600077,False,,5d1fe8751de32d30,7ad570266e2ed911,,nan,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,256,64,4096,3.521757768185907,peb,nan,nan,nan,1.6098916869959794,False,,5d1fe8751de32d30,7ad570266e2ed911,,0.0004204276316310196,True,False,jones_linear,True,83.69860389063207,nan,nan
